"term","definition","FNA_ID"
"acetabuliform","Transversely circular, broader than long, widest near or at the middle, relatively thin-walled, the hollow interior open distally; like a shallow bowl with strongly incurved sides.","04b9870e-60ed-422a-b6f9-a046ff7460f0"
"achene","Small, dry, indehiscent, and usually one-seeded, with the pericarp thin to thick, sometimes osseous, and adnate to the seed; derived from a single, superior, simple or compound, unicarpellate ovary.  Although in traditional use caryopsis (or grain) has been treated as a type separate from achene and applied to the fruit of a grass [Poaceae (Gramineae)], they do not differ in basic morphology.  See also cypsela, diclesium.","a086e031-d609-4684-b701-c3239d46cc6a"
"akene","Small, dry, indehiscent, and usually one-seeded, with the pericarp thin to thick, sometimes osseous, and adnate to the seed; derived from a single, superior, simple or compound, unicarpellate ovary.  Although in traditional use caryopsis (or grain) has been treated as a type separate from achene and applied to the fruit of a grass [Poaceae (Gramineae)], they do not differ in basic morphology.  See also cypsela, diclesium.","36a56913-88e9-4d72-8205-0ea14a215ae6"
"achlamydeous","Lacking a perianth.","35806c50-5de6-46e7-aca8-4d756eca8c19"
"acicular","Very slenderly elongate, widest near the middle, and gradually attenuate to an acute apex and a blunter base; like the lateral outline of a needle.","2027d793-8410-4e68-9172-aa180b1a79bb"
"acicular","Rounded in cross-section and very slenderly elongate, broadest near the middle, and gradually attenuate to an acute apex and a slightly blunter base; like a needle.","ad23798f-6acc-4845-9af9-a3a7ad7e6c30"
"aciculate","Having fine, irregularly oriented, straight  streaks of contrasting hue and/or intensity.","333c4f39-1dad-4b95-939b-2309f6c9a23b"
"acinaciform","Thin and moderately arcuate with two opposite, plane, broad faces, the degree of curvature increasing distally, thinnest at the convex edge, thicker toward the concave; like a scimitar blade.","da461a3d-b179-4708-95c3-c02ebd511c80"
"acorn","A nut subtended by a persistent, hard, cap-like involucre of numerous, coherent, imbricate bracts; esp. in Fagaceae.","dd455c86-ec50-45e3-81f8-3bcc5ad83bd7"
"acrid","Terminating abruptly in a rigid, relatively short, sharp point composed of both vascular and laminar tissues.","b7716031-3ef9-4077-9a56-7d5f05d9779d"
"acrid","Sharp or astringent.","55125fe8-611a-4ea0-81c4-c606492a03be"
"acrocaulous","At or very near the stem tip.","bfbb16d9-5db4-4b58-995c-02b47117d0a1"
"acrocaulous","At or very near the stem tip.","84ca1f31-ed5e-435a-bcb0-f16973b1c424"
"acrodromous","Having two or more primary and/or strongly developed secondary veins that diverge at or above the laminar base and are thence convergently arcuate toward the apex, reaching it or not.","d2db289e-7ba4-41ed-b1e7-dcc559a81563"
"acropetal","Proceeding toward the apex, thus more advanced basally or proximally than apically or distally within a given frame of reference.","efcb006d-d402-43ef-a2c7-2a25cc31de0a"
"acroramous","Branching at or near the apex.","69291286-bf66-499c-8224-1fbd86471c2e"
"acroscopic","Directed, facing, or pointing ('looking') toward the apex of the bearing structure.","da13406c-216d-4812-a957-e40b81ad5dc1"
"actinocytic","Having several subsidiary cells oriented radially to its center.","e7d96e12-f1ca-4d4b-8aeb-49f27d52ef78"
"actinodromous","Having three or more primary veins that diverge radially from a point at or above the base of the blade and run toward the margin, reaching it or not.","8183458e-ddba-445c-b971-fd9a220a8c1c"
"actinomorphic","Radially symmetric; divisible into two essentially equal portions along any median longitudinal plane.","90c15216-3167-49af-8ad5-b26bde718a40"
"aculeate","Having slender, stiff, sharp projections oriented in the general plane of the structure.","a391f977-717c-410a-a82b-e66259eb902c"
"acuminate","Gradually diminishing in width or diameter to a slender tip, the sides longitudinally concave.  Corresponds with attenuate for base shape.","acd76ca4-54ae-48a8-abad-30c7aa996bb8"
"acute","Sharply angular; regularly and more or less straightly attenuate to an angular tip, the sides intersecting at an angle of less than 90¡.","e9ccc258-c44c-4b18-88e3-e9cd0169017f"
"acyclic","Disposed helically about and along the axis, each on a different radius than the one(s) vertically adjacent.","328b2e30-46ac-42bd-b3d4-c1d5ce2b2427"
"adaxial","On or pertaining to the side or portion of a lateral structure that faces (or would face) toward the bearing axis when (or if) the axis of the lateral structure is (or were) oriented in the same general direction as the bearing axis.","16cc1bf7-0646-4350-bf75-28fffcba5474"
"adaxial","On or pertaining to the side or portion of a lateral structure that faces (or would face) toward the bearing axis when (or if) the axis of the lateral structure is (or were) oriented in the same general direction as the bearing axis.","2412ddf4-d793-43ad-b387-9c12438c143b"
"_adelphous","Having two or more distinct sets of stamens, the sets differing from one another in the arrangements, insertions, positions and/or morphologies of the included stamens, the number of sets indicated by the prefix, at least one set with two or more members; as in diadelphous, monadelphous, triadelphous.","77298971-f9b5-4dae-8c82-30d2d86ea3a7"
"adenopetalous","Having petals produced from glandular structures.","876cfd5f-273d-43c3-88a9-7256088a2a40"
"adenopetalous","Having petals derived from glandular structures.","f645a1eb-f77e-4e27-9c20-6288fbcb56e1"
"adherent","Superficially joined with or to one or more other dissimilar structures, the connection(s) with no significant histological continuity.  See also coherent.","9815718d-328f-4972-b751-733f4340b734"
"adnate","Intimately fused with or to one or more other dissimilar structures, the connection(s) with strong histological continuity.  See also connate.","58c298ec-a373-4c1e-ae26-bc033dee67ae"
"adventitious","Arising more or less unpredictably from an organ, tissue, or site that is an unusual, abnormal, or atypical origin for structures of its type.","d80260bd-8df8-452f-8e26-64e166edf310"
"adventitious bud","A vegetative or floral bud that arises directly from a root or from some site on a shoot other than a leaf axil or stem apex.","0eed275a-5dae-414a-bf36-81a08e6c6ba9"
"adventitious root","A root that arises laterally from some part of a shoot, often from the lower portion of a main stem.","27edee49-e9d1-4e6e-ba16-092e61472a0f"
"aerial","Above ground or water level.","9fd1bf82-4365-4799-8c2d-411f8d632e6f"
"aerial root","A root, adventitious or not, that originates and functions entirely above ground during the normal life cycle of the plant.","44840584-be98-4a00-939c-29c0aee0f1ed"
"aerial-rooted","Bearing aerial roots.","d13141a1-1bed-47c4-8584-2c8ccd202c15"
"aestivation","Disposition of perianth (undifferentiated), calyx, or corolla members in the bud.","1e9a1539-01e4-4773-834d-ca579d091256"
"agamospermous","Producing viable embryos (in seeds) asexually.","ca794a74-bcd9-4120-a65c-309be9370165"
"agglomerate","Comprising one or more glomes.","dd9e20b6-3721-42a8-afb1-e7004751e218"
"aggregate fruit","Compound and derived from the two or more simple, superior ovaries of a single apocarpous flower; the ovaries connate, coherent, or contiguous in the fruit, the whole with or without accessory tissue.","853ed939-84ea-424c-9fbe-88e2c0dff4ff"
"akene","See achene.","574db6a7-615c-4dc3-8373-6e8a77a69a92"
"ala","Any elongate, relatively thin protrusion or appendage.","9a033847-942c-4434-aa43-02fb3477f8ab"
"alae","Any elongate, relatively thin protrusion or appendage.","18fcb025-b4c7-446c-bedb-2af56cef615b"
"ala","One of the two lateral petals in a papilionaceous corolla.","6766d43e-3533-4b2a-8c28-7a2a8c067889"
"alae","One of the two lateral petals in a papilionaceous corolla.","b38c80fb-e887-4918-9e2d-92172e393916"
"alate","Having one or more elongate, relatively thin protrusions or appendages that resemble wings.","a37ac7a4-0cd0-4e1f-b621-b5ae33d62f25"
"alate","Having lateral lobes or enations that resemble sacs or somewhat inflated wings.","ef2cad7e-d0d1-495d-a2e7-dedf13f079cb"
"albumen","A genetically triploid (3n chromosomes) nutritive tissue in a seed; containing stored carbohydrate and/or oil utilized by the embryo prior to and especially upon germination; derived from fusion of the two polar nuclei (n + n chromosomes) of the embryo sac with a sperm nucleus from the pollen tube (n chromosomes).  See also perisperm.","1ecc1a22-0b08-4979-ae5e-2de10f4dc4ba"
"alete","Lacking a tetrad scar (surficial ridge or angle resulting from coherence with others produced from the same spore mother cell).","2225398c-fa25-4806-8bcb-2d11af334457"
"allagostemonous","Having the stamens inserted alternately upon petals and the receptacle.","a23b1cdf-f777-47f8-a844-8ac4554f2b31"
"allogamous","Having fertilization regularly involving gametes derived from different plants.","25bb8d1b-c01d-4b18-af24-f09ff2632035"
"allomictic","Having fertilization regularly involving gametes derived from different plants.","cf9d8416-b6cc-412f-aadd-2d09eff5e92d"
"almondy","Pungently fruity like almonds, due to the presence of hydrocyanin or a closely related compound.","d40ddc65-a032-4b55-8b5a-166fc9210495"
"alternate","Inserted singly along the axis, each at a different level and each diverging on a different radius than the ones next above and below.","38ba8ed5-c44b-433c-9708-b97b20cca1e5"
"alternate","Having those of each whorl staggered radially in relation to those of the adjacent whorl(s).","de7f1c1e-e1eb-45d6-be30-6bbbd299a2b6"
"alveolate","Having generally uniform, regularly and closely disposed, transversely polygonal depressions overall, the pattern resembling the external aspect of a honeycomb.","98baddbf-ec2a-4ace-a8e0-865ad0146718"
"ament","Elongate, more or less flexible and spike-like, often unisexual, the central axis bearing numerous diminutive flowers inserted either singly or in cymules, the pedicels or secondary axes subtended by small, paleaceous bracts or scales, the whole often deciduous as a unit.","607abb62-30fc-43da-8ad4-bc947d70a404"
"amentate","Comprising one or more aments.","7955bd51-2995-4123-a937-c4a397f29148"
"amphibious","Able to live in either aquatic or terrestrial habitats; e.g., adapted to periodic inundation on floodplains.","8b1a536d-429b-4d40-9962-f52b2c2da63b"
"amphicarpic","Producing two morphologically or phenologically different types of fruit.","3acb87aa-a544-4631-87f7-9aa9e76d8282"
"amphicarpous","Producing two morphologically or phenologically different types of fruit.","d3bd10c5-1e5c-4448-8d63-05b0621f9fb1"
"amphimictic","Reproducing sexually.","ceb51c45-db6f-43dc-9c43-2c74f2e0556b"
"amphistomic","Having stomata on both the adaxial and abaxial surfaces.","5413c9d2-9f81-42b3-b53d-d06788f33e58"
"amphistomatic","Having stomata on both the adaxial and abaxial surfaces.","a0bea72a-24ba-4734-abab-b23b3c19e6a3"
"amphistomatous","Having stomata on both the adaxial and abaxial surfaces.","da1ab1e6-69fd-4e69-ae8f-6d814675cd62"
"amphitropous","Having the funiculus adnate to the proximal portion of the (straight) ovule, the latter lying and the micropyle facing parallel to the ovary wall (placenta).","5858c197-92b2-40ee-87a3-5a677a7136a9"
"amplexicaul","See amplexicaulous.","380eff93-46d4-4330-9f67-67bf44b80e0a"
"amplexicaulous","Having two distinct basal lobes that partially or fully encircle the bearing axis.  See also connate-perfoliate, perfoliate.","b926f9aa-35ed-4645-be9d-42e4dbf225d5"
"amplexicaul","Having two distinct basal lobes that partially or fully encircle the bearing axis.  See also connate-perfoliate, perfoliate.","31890142-8651-4eca-acce-8f9f230c5aaa"
"ampulla","A small, membranous, hollow, flask-shaped, insectivorous structure borne on a submerged leaf; esp. in Lentibulariaceae.","683ab4a3-19b3-4350-aab5-2460ff5f96d9"
"ampullae","A small, membranous, hollow, flask-shaped, insectivorous structure borne on a submerged leaf; esp. in Lentibulariaceae.","e4dfb682-a0d5-487c-9752-556d9c4c70ec"
"ampulliform","Generally circular in cross-section, broadest at or below the middle, approximately globose below that and constricted above to a relatively narrow neck; like a flask.","20b04210-7d61-4568-b73e-1a432dfa5907"
"anadromous","Having the first lateral vein in each pinna or primary segment of the frond arise from its midvein on the side toward the apex of the frond, the pinnule or secondary segment that it leads to often disproportionately larger than the next distal ones.","83679c97-44e6-495f-96c3-6e15708abea3"
"anastomosing","Interconnecting more or less regularly.","3e868545-e9ca-4fb7-9a1a-df6cf53266ee"
"anatropous","Having the funiculus distally recurved and the (straight) ovule lying beside and parallel to the proximal portion of the funiculus, to which it may be adnate or adherent, the micropyle facing the ovary wall (placenta).","4a75e1b1-6aa4-4d51-9626-365e86010fe2"
"anchoring","Serving as a means of attachment to some external support.","83d04953-7442-41a1-9e4b-17018956b052"
"androdioecious","Having some plants with only bisexual flowers and others only staminate ones.","37d8c0e3-5c87-4be0-8e13-51f84172965e"
"androecial tube","The tubular portion of an androecium in which the component structures have fused with one another laterally over part or all their lengths.","0f5bd989-6a96-4305-985d-97ff6f2f49a8"
"androecium","The stamen(s), staminode(s), if any, and their ontogenetically associated structure(s), if any, of a single flower, taken collectively.","1b89bc5b-5ac4-4924-aff5-433d2d0df396"
"androecia","The stamen(s), staminode(s), if any, and their ontogenetically associated structure(s), if any, of a single flower, taken collectively.","522936d3-a948-44f3-b9dc-634e0d190f6f"
"androgynecandrous","Monoecious, each inflorescence having distal and proximal sectors with only staminate flowers and between them a central sector with only pistillate ones.","15c90141-c102-4da5-afbd-eb69be03d2eb"
"androgynophore","A stalk that rises above the level of perianth insertion and bears the free portions of both androecium and gynoecium from its summit; as in Passifloraceae.","eab7c575-d3a9-499d-9c4c-34a747be1a82"
"androgynous","Monoecious, each inflorescence having a distal sector with only staminate flowers and a proximal sector with only pistillate ones.","6eb007da-89b5-4067-a7b6-57242bbdfa8e"
"andromonoecious","Having all plants with both bisexual flowers and staminate ones.","145b5e99-6fe7-42fa-b14c-99fdf2d5c7a3"
"andropetalous","Having petaloid, sterile stamens.","6fc87757-ff77-4142-94d3-1f552f6d1a55"
"andropetalous","Having some or all petals derived from stamens.","8a76f616-c367-41b3-9b6f-55c960849100"
"androphore","A stalk or tube that rises above the level of perianth insertion and bears the distinct portions of the androecium  from its summit; as in Malvaceae, where the androphore is a tube formed by connation of the filaments.","6d21ad9e-77d0-426c-9667-c8e54c6467d3"
"_androus","Having the number of stamens indicated by the prefix; as in enneandrous, hexandrous, monandrous.","09bd7a82-65dc-4758-b3e2-c025a9549021"
"anemophilous","Having the pollen normally transported between strobili or flowers by air currents.","57579bf4-7e48-4fb4-99dc-3d975e965752"
"angled","Having sides that meet at acute or obtuse angles.","a2370508-2458-4df4-8c18-72e4b213fab1"
"_angled","Elongate with the number of longitudinal angles indicated by the prefix, the intervening sides transversely flat or curved; as in four-angled.  See also ...angular (...gonal), deltoid, obdeltoid, triquetrous.","97910bb4-6f4c-492f-a1f0-cf403353a789"
"angular","Having sides that meet at acute or obtuse angles.","a488a571-8ed1-4ee5-bf16-0df5a10fcd97"
"_angular","Forming a figure with the number of sides indicated by the prefix.","7b6bb4fd-cec4-4cfb-97c5-2bba215e6d75"
"_angular","Having distinct, flat or curved sides of the number indicated by the prefix; as in hexangular, triangular.  See also ...angled (...gonous), deltate.","2050ca4a-acc9-4e62-bafb-670b816f2a0f"
"anisocytic","Having three subsidiary cells, one distinctly smaller than the others.","f28df908-0dfc-4806-9f8d-0b32996f38c7"
"anisopetalous","Having petals unequal in size and/or shape.","1aed913e-3ee8-4579-a53e-427089afb451"
"anisophyllous","Heterophyllous and bearing leaves of two or more distinct sizes or shapes on the same plants.","0c542f3c-8046-4a78-a08a-d4f908b1dd3c"
"anisosepalous","Having sepals unequal in size and/or shape.","52089ccc-1db7-4ea3-98ca-8b426f154d47"
"anisostemonous","Having stamens unequal in size and/or shape.","4c329bb2-2a0f-4ebf-90f2-7c9fdd672afe"
"annual","Normally living one year or less; growing, reproducing, and dying within one cycle of seasons.","34000ec5-e71e-4eee-8382-c64521d75a15"
"annual","Of annual duration.","c522f8f3-7d70-4828-868d-609cb09799eb"
"annular","More or less evenly tubular in a closed circle; like a ring or doughnut.","83b96b92-78b6-488e-b62b-d396c3b5222d"
"annulus","A small ring-like protrusion from the strobilar stalk near its base and below the lowermost sporangiophores, sometimes bearing small sporangia; esp. in Equisetum.","5d08e519-ff94-49dc-877c-63ac6e267a96"
"annuli","A small ring-like protrusion from the strobilar stalk near its base and below the lowermost sporangiophores, sometimes bearing small sporangia; esp. in Equisetum.","8f3071d0-4163-4ab9-b2ff-2d4b35c79635"
"annulus","A row of protruding specialized sporangial wall cells that extends upward from the base of the sporangium and over its apex, thus forming an incomplete circumferential ring; esp. in Polypodiophyta.  The inner and radial walls of the annular cells are markedly thickened and the structure functions as a spore-releasing and -disseminating mechanism as a result of differential stresses developed within the mature sporangial wall upon desiccation.","c8137f4c-b747-4817-94a9-973aa39d4faf"
"annuli","A row of protruding specialized sporangial wall cells that extends upward from the base of the sporangium and over its apex, thus forming an incomplete circumferential ring; esp. in Polypodiophyta.  The inner and radial walls of the annular cells are markedly thickened and the structure functions as a spore-releasing and -disseminating mechanism as a result of differential stresses developed within the mature sporangial wall upon desiccation.","1a843329-df37-4234-8174-fcc6bf89bcad"
"anomocytic","Lacking subsidiary cells.","27d8c96e-f3bd-4b99-aff4-438d7503d63f"
"anthela","A cyme with the main axis markedly shorter than the lateral axes, appearing generally paniculate when compound; esp. in Juncaceae.","72057d27-76d8-4729-82bb-785757a01d96"
"anthelae","A cyme with the main axis markedly shorter than the lateral axes, appearing generally paniculate when compound; esp. in Juncaceae.","f22442e8-3d37-47e4-b1bc-64aeb8b0f9f7"
"anthelate","Comprising one or more anthelae; esp. in Juncaceae.","a860f30b-8210-4993-9183-a3ec65abe67d"
"anther","The fertile, loculate, pollen-bearing portion of a stamen, containing one, two, or four thecae (pollen sacs), when that portion is differentiated from and borne at the summit of a narrower supporting stalk (filament), or when such differentiation is deemed to have occurred in the evolutionary past with subsequent reduction of the filament (the anther then sessile and constituting the entirety of the stamen).","ce9ed37f-2132-4193-b5d3-8f569322e89e"
"anther-bearing","Bearing anthers.","337ded97-bc00-4a56-afb2-df67d986ca9f"
"antheridium","A male gametangium; a multicellular fertile organ of a mature gametophyte within which male gametes (antherozoids, spermatozoids) are produced and from which they are discharged, in some taxa forcibly, through a pore.  Technically present but highly reduced and of no descriptive significance in Magnoliophyta and part of Pinophyta.","7b3cbb19-26e9-4ad2-8afc-36682e1d2dd8"
"antheridia","A male gametangium; a multicellular fertile organ of a mature gametophyte within which male gametes (antherozoids, spermatozoids) are produced and from which they are discharged, in some taxa forcibly, through a pore.  Technically present but highly reduced and of no descriptive significance in Magnoliophyta and part of Pinophyta.","40b5fa5d-a75b-49d8-8328-b4c28d54ea66"
"antheriferous","Bearing anthers.","9c75cd6b-93c3-4710-b176-c77ece69c8e7"
"antherozoid","A motile male gamete, produced within an antheridium.","6ba61665-8856-4dfa-b850-f40a963f6c01"
"anthocarp","Simple or compound and including some tissue of non-ovarian origin (accessory tissue).","93db5e86-9dd3-43b5-9389-3f8a3308ce15"
"anticlinal","Perpendicular to some given plane of reference; applied especially to the plane of cell division when it is oriented at right angles to the generalized plane of the structural surface.","974ea7f7-67e3-4d2e-bde3-893af1af20ba"
"antipetalous","Each inserted directly above or below a petal.  In place of this term, the phrase 'opposite the petals' is often used, but that contradicts the sense of opposite as otherwise employed (arrangement of lateral structures along an axis) and should be avoided.","f40e8648-e09b-4d60-865a-2a54475cee89"
"antipetalous","Each inserted directly above or below a petal.  In place of this term, the phrase 'opposite the petals' is often used, but that contradicts the sense of opposite as otherwise employed (arrangement of lateral structures along an axis) and should be avoided.","64485357-034a-492f-96b4-a16775a214f7"
"antisepalous","Each inserted directly above or below a sepal.  In place of this term, the phrase 'opposite the sepals' is often used, but that contradicts the sense of opposite as otherwise employed (arrangement of lateral structures along an axis) and should be avoided.","1dd4e72e-964d-4884-98ee-c7dee2f8272d"
"antisepalous","Each inserted directly above or below a sepal.  In place of this term, the phrase 'opposite the sepals' is often used, but that contradicts the sense of opposite as otherwise employed (arrangement of lateral structures along an axis) and should be avoided.","8c70b62c-527f-4ad7-af89-1136cd7d3d20"
"antrorse","Directed forward or upward, toward the distal end of the context of reference, parallel or at an acute angle to the bearing structure.","ef05f086-926a-4e04-b311-7d1ae473cce7"
"apetalous","Lacking petals.","eae1e5e0-7c5d-4888-91b0-430d4a58e547"
"apex","Configuration of the uppermost, distal, or terminal portion of a structure, its extent determined somewhat subjectively in relation to the shape of the structure as a whole.  The concept of apex varies from one descriptive context to another, since the apex is not a clearly delimited, morphologically distinct entity.  The terms for describing apical condition are not strictly coordinate logically - some are more inclusive than others, some describe conditions involving what can be regarded as appendages, and some refer to the apex in a developmental as well as a strictly topological sense - and precise characterization may require using more than one descriptor.  The semantic antecedent of some descriptors is 'apex,' whereas the antecedent of others is the structure as a whole (e.g., leaf ).","262a8ea5-946e-43f0-999f-352d75f9c636"
"apices","Configuration of the uppermost, distal, or terminal portion of a structure, its extent determined somewhat subjectively in relation to the shape of the structure as a whole.  The concept of apex varies from one descriptive context to another, since the apex is not a clearly delimited, morphologically distinct entity.  The terms for describing apical condition are not strictly coordinate logically - some are more inclusive than others, some describe conditions involving what can be regarded as appendages, and some refer to the apex in a developmental as well as a strictly topological sense - and precise characterization may require using more than one descriptor.  The semantic antecedent of some descriptors is 'apex,' whereas the antecedent of others is the structure as a whole (e.g., leaf ).","c971f37c-1b6f-48d5-9320-d3e1d7a0e0c4"
"aphyllous","Not bearing leaves.","417ab169-b0ab-4744-96a6-141edb729e2f"
"apical","At or very near the developmental end or tip (apex) of a structure.","81d228b3-8b57-4801-9d71-7685649fad41"
"apical","At or very near the developmental end or tip (apex) of a structure.","6d82e231-7cd6-45f0-90fd-c40bdecfc937"
"apiculate","Terminating abruptly in a short, slender, angular tip that is not notably harder or stiffer than the main body of the structure.  See also mucronate, mucronulate.","b54a28d4-62dc-4291-ac5b-719fec8092db"
"apiculum","A short, slender, angular tip that is not notably harder or stiffer than the main body of the bearing structure.  See also mucro.","37405dd8-0f19-4be9-9320-78470ed7ee96"
"apicula","A short, slender, angular tip that is not notably harder or stiffer than the main body of the bearing structure.  See also mucro.","b64f1005-a60a-4356-8c25-18359c85b7b9"
"apiculum","The apex of a connective, when prolonged above the union of the anthers.","eefdd769-bc9f-4f06-88cd-54dc90fc15fb"
"apicula","The apex of a connective, when prolonged above the union of the anthers.","f2730b6c-a8f9-4167-9ced-17686db4d013"
"apocarpous","Having two or more simple pistils (carpels).","8e35e96f-24d5-4b35-af20-c439618df76d"
"apogamous","Producing new sporophytes from the gametophytes asexually, without intervening fertilization (or gametes).","274da8eb-607a-4403-853f-74c36ad90a9c"
"apolar","Lacking morphologically evident polarity.","6e64ae89-6bd3-423d-b052-9d09bbd5273f"
"apomictic","Producing new plants by means not involving meiosis or fertilization.","29722d75-09e1-47b0-9489-390206977bb2"
"apopetalous","Having two or more distinct petals; having the petals unfused.","9eb17977-c289-41a6-92f4-5cb56ee8b0ea"
"aposepalous","Having two or more distinct sepals; having the sepals unfused.","bd8bcbb3-9f44-4170-a31f-384ffd8befd0"
"aposporous","Producing new gametophytes from the sporophytes asexually, without intervening meiosis (or spores).","f71bc24e-901a-40b7-96f1-7cf36cd2216d"
"apostemonous","Having two or more distinct stamens; having the stamens unfused.","1c9725bf-fe22-45b0-aa54-94c5d5f66032"
"apotropous","Anatropous but the whole recurved such that the raphe (adnate portion of the funiculus) faces the ovary wall (placenta) and the ovule is parallel to it, the micropyle facing the free basal portion of the funiculus.","dbaf4805-edea-4d0a-929b-f4a9634d6ed3"
"appendage","Any subordinate structure ontogenetically derived from and associated with a given organ or part.","0d332d85-6eae-4e22-93e6-1eef614b169f"
"appressed","Angled at or near the base and closely flattened against the surface of the bearing structure, thus more or less parallel to it.","5ad74690-c8b3-4a96-be98-5b1fe1386921"
"approximate","Disposed relatively near to one another.","330a877f-ce5a-42be-858f-ed2876790488"
"aquatic","Growing in water.","ee5b05c6-082d-434f-a96b-223b98e24715"
"arachnoid","Of fairly sparse, fine, white, loosely tangled, capillate trichomes.","c59814a5-c971-4edf-9809-8b1d085cab43"
"arboreous","Having the character of a tree.  See also arborescent, bushy, frutescent, fruticose, subshrubby, suffrutescent, suffruticose, woody-clumping.","aeb9c9ea-2c50-452f-8cf4-2e73d77d3315"
"arborescent","Developing the character of a tree.  See also arboreous, bushy, frutescent, fruticose, subshrubby, suffrutescent, suffruticose, woody-clumping.","a281cb6f-5f8a-4a8d-96f1-ce6b3f04b200"
"archegonium","A female gametangium; a multicellular fertile organ of a mature gametophyte within which female gametes (eggs, ova) are produced and fertilized; having a broad, bulbous base and a narrower distal neck.  Technically present but highly reduced and of no descriptive significance in Magnoliophyta.","45b3550f-f11f-45aa-9225-d7ef764a82da"
"archegonia","A female gametangium; a multicellular fertile organ of a mature gametophyte within which female gametes (eggs, ova) are produced and fertilized; having a broad, bulbous base and a narrower distal neck.  Technically present but highly reduced and of no descriptive significance in Magnoliophyta.","5832a87b-3c8b-4f48-bd68-9b7a47343555"
"arching","Curving backward or downward.","7d510184-b5e5-47d8-823b-2a030f6d5d63"
"architecture","Composite structural configuration as to type, orientation, symmetry, insertion, position, fusion, presence, number, relative size, shape, texture, differentiation, and/or derivation of components and features.  Overlaps conceptually with habit.","3f729df9-3378-4dd8-acd0-d09dcaa44cd1"
"arcuate","Curving more or less regularly in one direction.","6dae4d90-d707-4630-97d9-f0e65a3ffbce"
"arcuate","Elongate and more or less regularly curved from one end to the other, one side convex, the opposite concave.","7ced8cf5-887c-431d-b973-ee29fa1a3579"
"areola","Any distinctive surficial discontinuity of generally circular outline, whether concave, flush, or convex; when protuberant, sometimes bearing trichomes or spines, as in some Cactaceae.  This term is used only when such entities are deemed structurally distinctive enough to merit description in their own rights, rather than as aspects of the surface.","1d057a6b-858d-488d-9aad-e0783891b55d"
"areolae","Any distinctive surficial discontinuity of generally circular outline, whether concave, flush, or convex; when protuberant, sometimes bearing trichomes or spines, as in some Cactaceae.  This term is used only when such entities are deemed structurally distinctive enough to merit description in their own rights, rather than as aspects of the surface.","c8cdaff3-8870-4943-9501-60d6779c1e29"
"areola","Any distinguishable laminar portion bounded on all sides by anastomosing veins and not traversed or dissected by any vasculature other than veinlets.","062e71c6-b768-4fd3-9cdd-5354f646ec66"
"areolae","Any distinguishable laminar portion bounded on all sides by anastomosing veins and not traversed or dissected by any vasculature other than veinlets.","bb1d6ebc-43ac-4dde-a2f3-63ee36e54cf9"
"areolate","Having numerous, small, irregularly disposed, transversely angular, shallow depressions or low protrusions overall.","01ad0434-8341-4116-9555-73abb91c13fc"
"areole","Any distinctive surficial discontinuity of generally circular outline, whether concave, flush, or convex; when protuberant, sometimes bearing trichomes or spines, as in some Cactaceae.  This term is used only when such entities are deemed structurally distinctive enough to merit description in their own rights, rather than as aspects of the surface.","497d4f0a-07ff-4c8e-9bea-dcdfb0d63199"
"areole","Any distinguishable laminar portion bounded on all sides by anastomosing veins and not traversed or dissected by any vasculature other than veinlets.","19d4913a-0420-4353-8adc-3e30efb347d0"
