"term","category","hassyn"
"agglomerate","architecture",0
"aggregated","arrangement",0
"aging","life_stage",0
"alate","architecture",0
"alete","architecture",0
"aligned","arrangement",0
"alike","variability",0
"allagostemonous","architecture",0
"allogamous","reproduction",0
"allomictic","reproduction",0
"alternate","arrangement",0
"alternating","arrangement",0
"alveolate","relief",0
"amentate","architecture",0
"amphibious","habit",0
"amphicarpic","architecture",0
"amphicarpous","architecture",0
"amphimictic","reproduction",0
"amphistomatic","architecture",0
"amphistomatous","architecture",0
"amphistomic","architecture",0
"amphitropous","orientation",0
"amplexicaul","architecture",0
"amplexicaulous","architecture",0
"ampliate","size",0
"ampulliform","shape",0
"anadromous","venation",0
"anastomosing","architecture",0
"anatropous","orientation",0
"anchoring","habit",0
"androdioecious","reproduction",0
"androgynecandrous","reproduction",0
"androgynous","reproduction",0
"andromonoecious","reproduction",0
"andropetalous","architecture",0
"anemophilous","reproduction",0
"angular","shape",0
"angulate","shape",0
"anisocytic","architecture",0
"anisopetalous","architecture",0
"anisophyllous","architecture",0
"anisosepalous","architecture",0
"anisostemonous","architecture",0
"annual","duration",0
"annual","life_style",0
"annular","shape",0
"annulate","architecture",0
"anomocytic","architecture",0
"anthelate","architecture",0
"anther-bearing","architecture",0
"antheriferous","architecture",0
"anticlinal","orientation",0
"antrorse","orientation",0
"apart","arrangement",0
"apetalous","architecture",0
"aphyllous","architecture",0
"apical","position",0
"apiculate","shape",0
"apocarpous","architecture",0
"apogamous","reproduction",0
"apolar","architecture",0
"apomictic","reproduction",0
"apopetalous","architecture",0
"aposepalous","architecture",0
"aposporous","reproduction",0
"apostemonous","architecture",0
"apotropous","orientation",0
"apparent","prominence",0
"appendaged","architecture",0
"appressed","orientation",0
"aquatic","habit",0
"arachnoid","external texture",0
"arachnose","external texture",0
"arboreous","habit",0
"arborescent","habit",0
"arched","orientation",0
"arching","orientation",0
"arcuate","course",0
"areolate","relief",0
"arillate","architecture",0
"arising","orientation",0
"aristate","shape",0
"armed","architecture",0
"aromatic","odor",0
"arranged","arrangement",0
"arrayed","arrangement",0
"arrowhead-shaped","shape",0
"articulate","architecture",0
"articulated","architecture",0
"ascending","orientation",0
"ascidiate","architecture",0
"ascidiform","shape",0
"asepalous","architecture",0
"aseptate","architecture",0
"asexual","reproduction",0
"ashy","coloration",0
"almondy","taste",0
"assurgent","orientation",0
"astomatiferous","architecture",0
"asymmetric","architecture",0
"asymmetrical","architecture",0
"atropous","orientation",0
"attached","fixation",0
"attentuate","shape",0
"attenuate","shape",0
"auriculate","shape",0
"auriform","shape",0
"autogamous","reproduction",0
"automictic","reproduction",0
"autotrophic","nutrition",0
"autumnal","life_style",0
"awl-shaped","shape",0
"awned","shape",0
"axe-shaped","shape",0
"axehead-shaped","shape",0
"axillary","position",0
"baccate","architecture",0
"bag-shaped","shape",0
"bald","external texture",0
"balding","external texture",0
"ternate","architecture",0
"barbate","external texture",0
"barbed","architecture",0
"barbellate","architecture",0
"barbellulate","architecture",0
"bare","external texture",0
"barklike","external texture",0
"basal","position",0
"basalmost","position",0
"basicauliramous","architecture",0
"basicaulous","position",0
"basifixed","fixation",0
"basiramous","architecture",0
"basipetal","development",0
"basiscopic","orientation",0
"beaded","shape",0
"beadlike","shape",0
"beaked","shape",0
"beakless","architecture",0
"beaklike","shape",0
"bearded","external texture",0
"bell-shaped","shape",0
"bellied","shape",0
"beige","coloration",0
"bend","orientation",0
"bending","orientation",0
"bent","shape",0
"berry-like","architecture",0
"berrylike","architecture",0
"bibracteate","architecture",0
"bicolor","coloration",0
"bicolorous","coloration",0
"biconvex","shape",0
"bicristate","shape",0
"bidentate","shape",0
"bifacial","architecture",0
"bifid","shape",0
"bifoliolate","architecture",0
"bifurcate","shape",0
"bigeminate","architecture",0
"bilabiate","architecture",0
"bilateral","arrangement",0
"bilobate","shape",0
"bipyramidal","shape",0
"birettaform","shape",0
"bisexual","reproduction",0
"bisulcate","architecture",0
"biturbinate","shape",0
"blackening","coloration",0
"blackish","coloration",0
"bladderlike","shape",0
"bladelike","shape",0
"blistered","relief",0
"blue","coloration",0
"bluish","coloration",0
"blunt","shape",0
"blush","coloration",0
"blushed","coloration",0
"boat-shaped","shape",0
"bony","internal texture",0
"bossed","shape",0
"bottom-rooted","habit",0
"botuliform","shape",0
"bowl-shaped","shape",0
"brachiate","architecture",0
"bracteate","architecture",0
"bracted","architecture",0
"bracteolate","architecture",0
"bractless","architecture",0
"bractleted","architecture",0
"bractlike","shape",0
"branching","architecture",0
"breast-shaped","shape",0
"brick","coloration",0
"brick-red","coloration",0
"brickwork-like","arrangement",0
"brief","duration",0
"bright","reflectance",0
"bright-orange-red","coloration",0
"bright-rose-pink","coloration",0
"bright-yellow","coloration",0
"brighter","reflectance",0
"brightest","reflectance",0
"brilliant","reflectance",0
"bristle-shaped","shape",0
"bristly","external texture",0
"bristlelike","architecture",0
"brittle","external texture",0
"broad","width",0
"broadened","width",0
"broader","width",0
"broadest","width",0
"brochidodromous","venation",0
"bronze","coloration",0
"broom-shaped","shape",0
"broomlike","architecture",0
"brownish","coloration",0
"brown","coloration",0
"brushy","architecture",0
"brushlike","architecture",0
"buckler-shaped","shape",0
"budlike","architecture",0
"buff","coloration",0
"bulbiferous","architecture",0
"bulbiliferous","architecture",0
"bulbose","architecture",0
"bulbous","architecture",0
"bulging","shape",0
"bullate","relief",0
"bulliform","shape",0
"bumpy","external texture",0
"bundled","architecture",0
"bundled","arrangement",0
"buried","location",0
"burlike","architecture",0
"bush","life_style",0
"bushlike","habit",0
"bushy","habit",0
"butterfly-like","architecture",0
"cactuslike","architecture",0
"caesious","external texture",0
"caespitose","habit",0
"calcarate","shape",0
"calceolate","shape",0
"calyciform","shape",0
"calyculate","architecture",0
"calyptrate","architecture",0
"calyptriform","shape",0
"calyxlike","architecture",0
"campanulate","shape",0
"campylodromous","venation",0
"campylotropous","orientation",0
"canalicular","position",0
"canaliculate","shape",0
"canary","coloration",0
"cancellate","architecture",0
"candelabriform","shape",0
"canescent","external texture",0
"capillate","shape",0
"capitate","architecture",0
"capitiform","shape",0
"capitular","position",0
"capitulescence","architecture",0
"capsular","architecture",0
"carinate","shape",0
"cariniform","shape",0
"carmine","coloration",0
"carnivorous","nutrition",0
"carnose","internal texture",0
"carrotlike","shape",0
"cartilage-like","external texture",0
"cartilaginous","external texture",0
"caryophyllaceous","architecture",0
"castaneous","coloration",0
"catadromous","venation",0
"catkinate","architecture",0
"caudate","shape",0
"caulescent","architecture",0
"cauline","position",0
"central","position",0
"ceraceous","external texture",0
"cereous","external texture",0
"cernuous","orientation",0
"cespitose","habit",0
"chaffy","architecture",0
"chaffy","external texture",0
"chalky","coloration",0
"chambered","architecture",0
"channeled","shape",0
"charcoal","coloration",0
"chartaceous","internal texture",0
"chamogamous","reproduction",0
"chasmogamous","reproduction",0
"chestnut","coloration",0
"chewed","relief",0
"chocolate","coloration",0
"choripetalous","architecture",0
"chorisepalous","architecture",0
"ciliolate","external texture",0
"cincinnate","architecture",0
"circinate","shape",0
"circinate","vernation",0
"circular","arrangement",0
"circumcaulous","position",0
"circumscissile","dehiscence",0
"cirrhous","shape",0
"cladodromous","venation",0
"clambering","habit",0
"clasping","architecture",0
"clathrate","architecture",0
"clavate","shape",0
"clawed","shape",0
"clawlike","shape",0
"clear","coloration",0
"cleistogamous","reproduction",0
"climbing","habit",0
"climbing-rooted","architecture",0
"close","arrangement",0
"closer","arrangement",0
"closing","behaviour",0
"cloying","odor",0
"club-shaped","shape",0
"clublike","shape",0
"clumped","arrangement",0
"cluster","arrangement",0
"clustered","arrangement",0
"coalescent","fusion",0
"coarse","external texture",0
"coarser","external texture",0
"cobwebby","external texture",0
"cochlear","arrangement",0
"cochleate","shape",0
"coherent","fusion",0
"cohesive","fusion",0
"coiled","architecture",0
"collapsing","behaviour",0
"collateral","position",0
"colonial","habit",0
"colored","coloration",0
"colorful","coloration",0
"colorless","coloration",0
"colors","coloration",0
"columnar","shape",0
"columnlike","architecture",0
"comb-shaped","shape",0
"compact","architecture",0
"comose","external texture",0
"compact","arrangement",0
"complanate","shape",0
"complete","architecture",0
"complex","architecture",0
"composite","architecture",0
"compound","architecture",0
"compound-lipped","architecture",0
"compressed","shape",0
"concave","shape",0
"concave-tapered","shape",0
"concealed","prominence",0
"concentrated","arrangement",0
"concentric","position",0
"concolor","coloration",0
"concolorous","coloration",0
"condensed","architecture",0
"conduplicate","arrangement",0
"confluent","arrangement",0
"congested","architecture",0
"congested","arrangement",0
"conical","shape",0
"conjugate","arrangement",0
"connate","fusion",0
"connate-perfoliate","architecture",0
"connected","fusion",0
"connivent","arrangement",0
"conoidal","shape",0
"consecutive","arrangement",0
"conspicuous","prominence",0
"constricted","size",0
"contiguous","arrangement",0
"continuous","architecture",0
"contortuplicate","arrangement",0
"contortuplicate","vernation",0
"contracted","size",0
"contractile","architecture",0
"contracting","size",0
"convex","shape",0
"copious","count",0
"copper","coloration",0
"coral","coloration",0
"cordate","shape",0
"cordate-ovate","shape",0
"cordiform","shape",0
"cordlike","shape",0
"coriaceous","external texture",0
"corky","internal texture",0
"cormlike","architecture",0
"cormose","architecture",0
"corncob-like","architecture",0
"corneous","external texture",0
"corniculate","shape",0
"corniform","shape",0
"corollalike","architecture",0
"coronal","position",0
"coronate","shape",0
"coroniform","shape",0
"corrugate","arrangement",0
"corrugate","relief",0
"corticate","external texture",0
"corymb-like","architecture",0
"corymbiform","architecture",0
"corymbose","architecture",0
"costal","position",0
"costate","architecture",0
"cottony","external texture",0
"cotyliform","shape",0
"cotyloid","architecture",0
"craspedodromous","venation",0
"crassate","architecture",0
"crateriform","shape",0
"cream","coloration",0
"creamy","coloration",0
"creeping","habit",0
"crenulate","shape",0
"crescent","shape",0
"crescent-shaped","shape",0
"crested","shape",0
"crestlike","shape",0
"crimson","coloration",0
"crinkly","shape",0
"crinkly","external texture",0
"crispate","shape",0
"crisped","shape",0
"cristate","shape",0
"crooked","orientation",0
"cross-fertilizing","reproduction",0
"cross-shaped","shape",0
"crowded","arrangement",0
"crown-shaped","shape",0
"cruciate","architecture",0
"cruciate","shape",0
"cruciferous","architecture",0
"crumbling","external texture",0
"crumpled","arrangement",0
"crustaceous","external texture",0
"crusty","external texture",0
"cuboid","shape",0
"cucullate","shape",0
"cuculliform","shape",0
"cuneate","shape",0
"cuniculate","shape",0
"cup-shaped","shape",0
"cuplike","shape",0
"cupulate","shape",0
"curled","shape",0
"curling","course",0
"curly","shape",0
"cushion-shaped","shape",0
"cushionlike","shape",0
"cushionlike","architecture",0
"cuspidate","shape",0
"cut","shape",0
"cyan","coloration",0
"cyanic","coloration",0
"cyathiate","architecture",0
"cyathiform","shape",0
"cylinders","shape",0
"cylindric","shape",0
"cylindrical","shape",0
"cylindro","shape",0
"cylindroid","shape",0
"cymbiform","shape",0
"cyme-like","architecture",0
"cymiform","architecture",0
"cymose","architecture",0
"cymulose","architecture",0
"daggerlike","shape",0
"dark","coloration",0
"dark-pink","coloration",0
"darkened","coloration",0
"darkening","coloration",0
"darker","coloration",0
"darker-pink","coloration",0
"darkest","coloration",0
"deciduous","habit",0
"declinate","orientation",0
"declined","orientation",0
"decompound","architecture",0
"decreasing","count",0
"decumbent","habit",0
"decurrent","shape",0
"decurved","orientation",0
"decussate","arrangement",0
"deep","depth",0
"defined","prominence",0
"dehiscing","dehiscence",0
"delicate","fragility",0
"dehiscent","dehiscence",0
"deflexed","orientation",0
"deliquescent","external texture",0
"deltate","shape",0
"deltoid","shape",0
"dendritic","architecture",0
"dense","density",0
"densest","density",0
"denticulate","shape",0
"depressed-spheric","shape",0
"descend","orientation",0
"descending","orientation",0
"desiccated","condition",0
"detached","fusion",0
"determinate","development",0
"dextrorse","orientation",0
"diacytic","architecture",0
"diagonal","position",0
"dialypetalous","architecture",0
"dialysepalous","architecture",0
"diaphragmed","architecture",0
"diamond-shaped","shape",0
"dichasiate","architecture",0
"dichasiiform","architecture",0
"dichasium-like","architecture",0
"dichlamydeous","architecture",0
"dichogamous","maturation",0
"dichotomous","architecture",0
"diclinous","reproduction",0
"didynamous","architecture",0
"diffuse","density",0
"diffuse-porous","external texture",0
"diffuse-rooted","architecture",0
"digamous","reproduction",0
"dilate","shape",0
"dilated","shape",0
"dimidiate","shape",0
"dimorphic","habit",0
"dioecious","reproduction",0
"dioecous","reproduction",0
"diplecolobal","arrangement",0
"diplecolobal","architecture",0
"diplostemonous","architecture",0
"directed","orientation",0
"disarticulating","architecture",0
"discal","position",0
"discernible","prominence",0
"disciform","architecture",0
"discoid","architecture",0
"discoid","shape",0
"discolor","coloration",0
"discolorous","coloration",0
"discrete","fusion",0
"disintegrating","dehiscence",0
"disposed","arrangement",0
"dissected","shape",0
"distal","position",0
"distalmost","position",0
"distant","arrangement",0
"distichous","arrangement",0
"distinct","fusion",0
"distinguishable","prominence",0
"distorted","shape",0
"distributed","arrangement",0
"diurnal","habit",0
"divaricate","arrangement",0
"divergent","arrangement",0
"diverging","orientation",0
"dolabrate","shape",0
"dolabriform","shape",0
"dome-shaped","shape",0
"domelike","shape",0
"dorsal","position",0
"dorsifixed","fixation",0
"dorsiventral","architecture",0
"dorsoventral","architecture",0
"dot-like","shape",0
"dots","pattern",0
"dovetailing","habit",0
"downcurved","orientation",0
"downy","external texture",0
"drab","reflectance",0
"drab","habit",0
"dried","condition",0
"drooping","orientation",0
"drupaceous","architecture",0
"drying","condition",0
"dull","reflectance",0
"duller","reflectance",0
"dullish","reflectance",0
"dusky","coloration",0
"dusky","reflectance",0
"dwarfed","size",0
"dying","condition",0
"ear-shaped","shape",0
"eared","shape",0
"early-maturing","maturation",0
"ebracteate","architecture",0
"ebracteolate","architecture",0
"eccentric","position",0
"echinate","architecture",0
"egg-shaped","shape",0
"eglandular","architecture",0
"elaminate","architecture",0
"elastic","external texture",0
"ellipsoid","shape",0
"ellipsoidal","shape",0
"elliptic","shape",0
"elliptic","arrangement",0
"elliptical","shape",0
"elongate","shape",0
"elongated","length",0
"emarginate","shape",0
"emergent","location",0
"emersed","location",0
"enclosed","position",0
"endophytic","habit",0
"enfolding","position",0
"enlarged","size",0
"enlarging","size",0
"ensate","shape",0
"ensiform","shape",0
"entangled","arrangement",0
"entire","shape",0
"entomophilous","reproduction",0
"enzymatic","exudation",0
"epaleaete","architecture",0
"epaleate","architecture",0
"epappose","architecture",0
"ephemeral","duration",0
"epibracteal","position",0
"epigeal","location",0
"epigeous","location",0
"epigynous","position",0
"epinastic","development",0
"epipetalous","position",0
"epiphyllous","position",0
"epiphytic","habit",0
"epipterous","shape",0
"epirhizal","position",0
"episepalous","position",0
"epistomatic","architecture",0
"epistomatous","architecture",0
"epistomic","architecture",0
"epulvinate","architecture",0
"equatorial","position",0
"equilateral","shape",0
"equitant","arrangement",0
"eradicate","architecture",0
"eramous","architecture",0
"erect","orientation",0
"eroded","relief",0
"erose","relief",0
"estipulate","architecture",0
"estrophiolate","architecture",0
"eucamptodromous","venation",0
"eusporangiate","reproduction",0
"even-pinnate","architecture",0
"evening-blooming","habit",0
"evergreen","habit",0
"evident","prominence",0
"exalate","architecture",0
"exalbuminous","architecture",0
"excavate","architecture",0
"excavated","architecture",0
"excurrent","architecture",0
"exfoliating","relief",0
"exindusiate","architecture",0
"exogamous","reproduction",0
"expanded","size",0
"expanding","size",0
"explosive","dehiscence",0
"exposed","prominence",0
"exsert","position",0
"exserted","position",0
"exstipitate","architecture",0
"exstipulate","architecture",0
"extended","size",0
"extrafloral","position",0
"extravaginal","position",0
"extreme","position",0
"facultative","life_style",0
"fading","coloration",0
"falcate","shape",0
"fan-shaped","shape",0
"farinaceous","external texture",0
"farinose","external texture",0
"fasciate","fusion",0
"fasciated","fusion",0
"fascicled","architecture",0
"fascicled","arrangement",0
"fascicles","arrangement",0
"fasciculate","architecture",0
"fasciculate","arrangement",0
"fastigiate","arrangement",0
"fatiscent","external texture",0
"feather-shaped","shape",0
"featherlike","shape",0
"featherlike","architecture",0
"felted","external texture",0
"feltlike","external texture",0
"felty","external texture",0
"female","reproduction",0
"feminine","reproduction",0
"fenestrate","architecture",0
"fertile","reproduction",0
"fetid","odor",0
"few","count",0
"fewer","count",0
"fibrous","internal texture",0
"fibrous-rooted","architecture",0
"fiddle-shaped","shape",0
"filamentous","external texture",0
"filiform","shape",0
"fimbriate","shape",0
"fimbrillate","shape",0
"fine-fringed","shape",0
"fine-pitted","relief",0
"fissured","relief",0
"fistulose","shape",0
"fixed","fixation",0
"flabellate","shape",0
"flabelliform","shape",0
"flabelliramous","architecture",0
"flaccid","internal texture",0
"flagelliform","shape",0
"flagged","architecture",0
"flaky","fragility",0
"flanged","shape",0
"flared","shape",0
"flaring","shape",0
"flask-shaped","shape",0
"flat","shape",0
"flat-topped","shape",0
"flat-topped","architecture",0
"flattened","shape",0
"flatter","shape",0
"fleshy","internal texture",0
"fleshy-stemmed","internal texture",0
"flexed","shape",0
"flexuose","course",0
"flexuous","course",0
"floating","habit",0
"floating","location",0
"floccose","external texture",0
"floral","position",0
"floriferous","architecture",0
"flower-bearing","architecture",0
"flowering","life_stage",0
"flush","prominence",0
"fluted","shape",0
"folded","architecture",0
"foliaceous","architecture",0
"foliar","position",0
"foliose","architecture",0
"forked","shape",0
"foveate","relief",0
"foveolate","relief",0
"fracturing","fragility",0
"fragile","fragility",0
"fragrant","odor",0
"free","fusion",0
"free-central","arrangement",0
"fresh","condition",0
"friable","external texture",0
"fringed","shape",0
"fructiferous","architecture",0
"fruity","odor",0
"fruity","taste",0
"frutescent","habit",0
"fruticose","habit",0
"fugacious","duration",0
"fulvous","coloration",0
"fungiform","shape",0
"funicular","derivation",0
"funiculate","architecture",0
"funnel-shaped","shape",0
"funnelform","shape",0
"furcate","shape",0
"fuscous","coloration",0
"fused","fusion",0
"fusiform","shape",0
"galeate","shape",0
"galeiform","shape",0
"gamopetalous","architecture",0
"gamophyllous","architecture",0
"gamosepalous","architecture",0
"gamotepalous","architecture",0
"gaping","architecture",0
"geitonogamous","reproduction",0
"geminate","arrangement",0
"geminicolpate","architecture",0
"geniculate","shape",0
"geophytic","habit",0
"germinating","germination",0
"giant","size",0
"gibbous","shape",0
"gigantic","size",0
"glabrate","external texture",0
"glabrescent","external texture",0
"glabrous","external texture",0
"glandless","architecture",0
"glandular","architecture",0
"glandular","exudation",0
"glassy","reflectance",0
"glaucescent","external texture",0
"glaucous","external texture",0
"glistening","reflectance",0
"glittering","reflectance",0
"globose","shape",0
"globular","shape",0
"glochidiate","external texture",0
"glomerate","architecture",0
"glomerulate","architecture",0
"glossy","reflectance",0
"glutinous","external texture",0
"goblet-shaped","shape",0
"gold","coloration",0
"golden","coloration",0
"gongylodate","shape",0
"gongyloid","shape",0
"granular","internal texture",0
"granulate","internal texture",0
"granuliferous","external texture",0
"granulose","internal texture",0
"grass","coloration",0
"gray","coloration",0
"graying","coloration",0
"grayish","coloration",0
"greasy","external texture",0
"green","coloration",0
"greener","coloration",0
"greenish","coloration",0
"gregarious","habit",0
"grumous","shape",0
"gummy","external texture",0
"gynandrous","architecture",0
"gynecandrous","reproduction",0
"gynobasic","position",0
"gynodioecious","reproduction",0
"gynoecious","reproduction",0
"gynomonoecious","reproduction",0
"hair-like","shape",0
"hairless","external texture",0
"hairlike","shape",0
"hairy","external texture",0
"halberd-head-shaped","shape",0
"half-inferior","position",0
"half-obterete","shape",0
"half-terete","shape",0
"halfway","position",0
"hamate","shape",0
"hanging","orientation",0
"hapaxanthic","reproduction",0
"haplocheilic","architecture",0
"haplomorphic","architecture",0
"hard","external texture",0
"hard-coated","external texture",0
"hard-stemmed","external texture",0
"hardened","external texture",0
"harder","external texture",0
"hastate","shape",0
"head-shaped","shape",0
"headed","shape",0
"headless","architecture",0
"headless","shape",0
"headlike","shape",0
"heart-shaped","shape",0
"helical","arrangement",0
"helical","shape",0
"helical","course",0
"helicoid-cymose","architecture",0
"helmet-shaped","shape",0
"hemianatropous","orientation",0
"hemiepiphytic","habit",0
"hemiparasitic","nutrition",0
"hemispheric","shape",0
"hemispherical","shape",0
"hermaphroditic","reproduction",0
"heteroblastic","architecture",0
"heterocephalous","architecture",0
"heterocladic","architecture",0
"heterocolpate","architecture",0
"heterogamous","reproduction",0
"heteromorphic","architecture",0
"heterophyllous","architecture",0
"heteropolar","architecture",0
"heterosporous","reproduction",0
"heterostylous","architecture",0
"heterotrophic","nutrition",0
"hexagonal","shape",0
"hidden","prominence",0
"high","height",0
"hippocrepiform","shape",0
"hirsute","external texture",0
"hirsutellous","external texture",0
"hirsutulous","external texture",0
"hirtellous","external texture",0
"hispid","external texture",0
"hispidulous","external texture",0
"hoary","external texture",0
"hollow","architecture",0
"homochlamydeous","architecture",0
"homocladic","architecture",0
"homogamous","reproduction",0
"homomorphic","architecture",0
"homophyllous","architecture",0
"homosporous","reproduction",0
"homostylous","architecture",0
"honeycombed","relief",0
"honeycomb","relief",0
"hood-shaped","shape",0
"hooded","architecture",0
"hook-shaped","shape",0
"hooked","shape",0
"hookless","architecture",0
"horizontal","orientation",0
"horn-shaped","shape",0
"horned","shape",0
"hornlike","shape",0
"horny","external texture",0
"horseshoe-shaped","shape",0
"hue","coloration",0
"humplike","shape",0
"hyaline","coloration",0
"hydrated","condition",0
"hydrocyanic","odor",0
"hydrocyanic","taste",0
"hygroscopic","architecture",0
"hyphodromous","venation",0
"hypocrateriform","shape",0
"hypogeal","location",0
"hypogeous","location",0
"hypogynous","position",0
"hyponastic","development",0
"hypostomatic","architecture",0
"hypostomatous","architecture",0
"hypostomic","architecture",0
"hysteranthous","maturation",0
"hysterophyllous","maturation",0
"idiogamous","reproduction",0
"imbricate","arrangement",0
"imbricated","arrangement",0
"immature","life_stage",0
"immersed","prominence",0
"imparipinnate","architecture",0
"impenetrable","prominence",0
"imperfect","architecture",0
"impressed","prominence",0
"inaperturate","architecture",0
"incised","shape",0
"inclinate","orientation",0
"inclined","orientation",0
"included","position",0
"incomplete","architecture",0
"inconspicuous","prominence",0
"incumbent","arrangement",0
"incumbent","orientation",0
"incurved","orientation",0
"indehiscence","dehiscence",0
"indehiscent","dehiscence",0
"indented","shape",0
"independent","fusion",0
"indeterminate","development",0
"indistinct","prominence",0
"indistinguishable","prominence",0
"induplicate","arrangement",0
"indurate","external texture",0
"indurated","external texture",0
"indusiate","architecture",0
"inferior","position",0
"inflated","shape",0
"inflexed","orientation",0
"infolded","shape",0
"infolded","architecture",0
"infrabracteal","position",0
"infrafoliar","position",0
"inframedial","position",0
"infrapetiolar","position",0
"infundibular","shape",0
"inner","position",0
"innermost","position",0
"innocuous","habit",0
"inrolled","shape",0
"inrolled","vernation",0
"insect-pollinated","reproduction",0
"insectivorous","nutrition",0
"inserted","position",0
"inserted","fusion",0
"intact","condition",0
"integumentary","derivation",0
"interareolar","position",0
"intercostal","position",0
"intergradent","habit",0
"intermediate","size",0
"internal","position",0
"internodal","position",0
"interpetiolar","position",0
"interrupted","architecture",0
"interstitial","position",0
"intravaginal","position",0
"intricate","arrangement",0
"introrse","dehiscence",0
"intruded","reproduction",0
"inverted","orientation",0
"involucral","derivation",0
"involucrate","architecture",0
"involute","shape",0
"involucrelike","shape",0
"involute","vernation",0
"inward","orientation",0
"iridescent","coloration",0
"iridescent","reflectance",0
"irregular","architecture",0
"irregular","course",0
"isodiametric","architecture",0
"isopetalous","architecture",0
"isosepalous","architecture",0
"isopolar","architecture",0
"isostemonous","architecture",0
"ivory","coloration",0
"jointed","architecture",0
"keel-shaped","shape",0
"keeled","shape",0
"kidney-shaped","shape",0
"knee-rooted","architecture",0
"kneecap-shaped","shape",0
"kneed","shape",0
"knob-shaped","shape",0
"knobbed","shape",0
"knobby","shape",0
"knoblike","shape",0
"knot-shaped","shape",0
"knotted","shape",0
"knotty","shape",0
"labiate","architecture",0
"lacerate","shape",0
"laciniate","shape",0
"lacking","count",0
"lacrimate","shape",0
"lacrimiform","shape",0
"lacunate","relief",0
"ladder-like","arrangement",0
"laevigate","reflectance",0
"lageniform","shape",0
"lamellate","shape",0
"laminar","position",0
"laminate","architecture",0
"lanate","external texture",0
"lancehead-shaped","shape",0
"lanceolate","shape",0
"lanceoloid","shape",0
"lanciform","shape",0
"lanose","external texture",0
"lanuginose","external texture",0
"lanulose","external texture",0
"large","size",0
"larger","size",0
"largest","size",0
"late-maturing","maturation",0
"later","condition",0
"lateral","position",0
"laticiferous","exudation",0
"latrorse","dehiscence",0
"latticed","architecture",0
"lavender","coloration",0
"lavender","odor",0
"lax","architecture",0
"lax","arrangement",0
"layering","architecture",0
"leaden","coloration",0
"leaf-bearing","architecture",0
"leaf-like","architecture",0
"leaf-opposed","position",0
"leafless","architecture",0
"leaflike","architecture",0
"leafy","architecture",0
"leaning","orientation",0
"leathery","external texture",0
"leftward","orientation",0
"lemon","coloration",0
"lengthened","length",0
"lens-shaped","shape",0
"lenticular","shape",0
"lentiginose","external texture",0
"lentiginous","external texture",0
"lepidote","external texture",0
"leptosporangiate","reproduction",0
"levering","habit",0
"liana","life_style",0
"lianous","habit",0
"lidded","architecture",0
"light","coloration",0
